Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.0816162,46.7,0.95759875,-0.2726491615176201,-0.2726491615176201,1.0
2000,2.0594983,35.333333333333336,1.1703026,-0.8204425121175831,-0.8204425121175831,1.0
3000,2.0552132,50.421052631578945,1.0373831,-0.25045346586327805,-0.25045346586327805,1.0
4000,2.0963078,49.31578947368421,0.8529796,0.5179553151130676,0.5179553151130676,1.0
5000,2.038227,45.54545454545455,1.2206141,-0.9351588629540943,-0.9351588629540943,1.0
6000,2.0805092,41.083333333333336,1.0624219,-0.8450153258939584,-0.8450153258939584,1.0
7000,2.0617576,52.31578947368421,0.93922323,0.013441485793966996,0.013441485793966996,1.0
8000,2.0512607,43.904761904761905,1.1411273,-1.4821522330695933,-1.4821522330695933,1.0
9000,2.1032493,42.5,0.9758955,-0.7325778927492059,-0.7325778927492059,1.0
10000,2.061708,53.44444444444444,1.1187409,-1.0803138072553433,-1.0803138072553433,1.0
11000,2.0880623,45.36363636363637,1.1760331,-0.6087253178868975,-0.6087253178868975,1.0
12000,2.095583,50.0,1.0485557,0.118027463555336,0.118027463555336,1.0
13000,2.0980232,58.1764705882353,1.2709281,1.217919886988752,1.217919886988752,1.0
14000,2.101735,47.26315789473684,1.0940112,-0.8711306005716324,-0.8711306005716324,1.0
15000,2.091929,41.19230769230769,1.2657975,0.13554203152656555,0.13554203152656555,1.0
16000,2.0878215,42.31818181818182,1.1330695,-0.482824717732993,-0.482824717732993,1.0
17000,2.1032085,42.608695652173914,0.966064,-0.7586074458516162,-0.7586074458516162,1.0
18000,2.070307,46.142857142857146,1.3318897,0.1560999723997983,0.1560999723997983,1.0
19000,2.1063066,47.904761904761905,0.8739096,0.7701212763786316,0.7701212763786316,1.0
20000,2.093253,46.285714285714285,1.1948202,0.02918134984515962,0.02918134984515962,1.0
21000,2.0845573,49.7,1.1284915,0.21196444630622863,0.21196444630622863,1.0
22000,2.1131234,51.388888888888886,0.92575914,0.16984429798628153,0.16984429798628153,1.0
23000,2.0933847,52.35,1.020391,0.08391209181986357,0.08391209181986357,1.0
24000,2.1062043,53.294117647058826,1.1019759,0.5405995945135752,0.5405995945135752,1.0
25000,2.0942502,60.416666666666664,0.9173183,1.6987130840619404,1.6987130840619404,1.0
26000,2.0826921,86.53333333333333,0.94965166,0.3620060852595738,0.3620060852595738,1.0
27000,2.0783427,64.92307692307692,1.1166625,2.1713705446038927,2.1713705446038927,1.0
28000,2.0815551,74.33333333333333,1.1889049,2.5913939561162675,2.5913939561162675,1.0
29000,2.0949929,45.27777777777778,1.2304972,0.2902866758798298,0.2902866758798298,1.0
30000,2.090617,57.23529411764706,0.94157904,0.14599876544054816,0.14599876544054816,1.0
31000,2.1047366,54.11764705882353,1.0575994,0.9871427648597293,0.9871427648597293,1.0
32000,2.101863,48.666666666666664,0.97784793,2.198952880643663,2.198952880643663,1.0
33000,2.0958438,62.375,1.1782866,2.5034684499104816,2.5034684499104816,1.0
34000,2.097733,54.333333333333336,1.1768517,2.1712830861409507,2.1712830861409507,1.0
35000,2.1113086,71.07692307692308,1.0445999,3.0482863714652404,3.0482863714652404,1.0
36000,2.106377,95.0909090909091,1.1135598,6.400288641452789,6.400288641452789,1.0
37000,2.1130779,52.1578947368421,1.112194,3.4914322966023494,3.4914322966023494,1.0
38000,2.1043515,57.411764705882355,1.0696951,1.859000423375298,1.859000423375298,1.0
39000,2.088961,52.35294117647059,1.0893843,1.9275826546880934,1.9275826546880934,1.0
40000,2.0992386,54.578947368421055,1.116801,1.2368346829163401,1.2368346829163401,1.0
41000,2.1205475,86.0,1.1575133,4.251015321774916,4.251015321774916,1.0
42000,2.0949745,83.41666666666667,1.1606328,5.51312455534935,5.51312455534935,1.0
